ctmString,ctm,open,high,low,close,vol
"May 4, 2023, 12:00:00 AM",1683151200000,170936.0,252.0,0.0,240.0,1768.0
"May 4, 2023, 12:15:00 AM",1683152100000,171184.0,114.0,0.0,112.0,2702.0
"May 4, 2023, 12:30:00 AM",1683153000000,171297.0,46.0,-85.0,-17.0,3816.0
"May 4, 2023, 12:45:00 AM",1683153900000,171284.0,0.0,-137.0,-121.0,2646.0
"May 4, 2023, 1:00:00 AM",1683154800000,171164.0,71.0,-5.0,61.0,3977.0
"May 4, 2023, 1:15:00 AM",1683155700000,171223.0,46.0,-9.0,38.0,2703.0
"May 4, 2023, 1:30:00 AM",1683156600000,171259.0,29.0,-8.0,-5.0,3189.0
"May 4, 2023, 1:45:00 AM",1683157500000,171258.0,65.0,-12.0,39.0,3282.0
"May 4, 2023, 2:00:00 AM",1683158400000,171300.0,115.0,-39.0,85.0,4679.0
"May 4, 2023, 2:15:00 AM",1683159300000,171385.0,60.0,-14.0,-8.0,4248.0
"May 4, 2023, 2:30:00 AM",1683160200000,171377.0,1.0,-39.0,-25.0,3686.0
"May 4, 2023, 2:45:00 AM",1683161100000,171352.0,19.0,-34.0,-28.0,3712.0
"May 4, 2023, 3:00:00 AM",1683162000000,171324.0,5.0,-51.0,-8.0,5637.0
"May 4, 2023, 3:15:00 AM",1683162900000,171316.0,38.0,-57.0,-53.0,4866.0
"May 4, 2023, 3:30:00 AM",1683163800000,171262.0,38.0,-54.0,-44.0,5083.0
"May 4, 2023, 3:45:00 AM",1683164700000,171218.0,11.0,-46.0,-30.0,4397.0
"May 4, 2023, 4:00:00 AM",1683165600000,171187.0,7.0,-30.0,-1.0,4473.0
"May 4, 2023, 4:15:00 AM",1683166500000,171183.0,33.0,-10.0,10.0,3557.0
"May 4, 2023, 4:30:00 AM",1683167400000,171192.0,7.0,-37.0,-11.0,4406.0
"May 4, 2023, 4:45:00 AM",1683168300000,171177.0,8.0,-124.0,-117.0,4571.0
"May 4, 2023, 5:00:00 AM",1683169200000,171056.0,11.0,-17.0,-6.0,3993.0
