ctmString,ctm,open,high,low,close,vol
"May 4, 2023, 6:15:00 AM",1683173700000,125826.0,36.0,-8.0,17.0,3898.0
"May 4, 2023, 6:30:00 AM",1683174600000,125842.0,60.0,-10.0,42.0,4120.0
"May 4, 2023, 6:45:00 AM",1683175500000,125883.0,2.0,-64.0,-63.0,4577.0
"May 4, 2023, 7:00:00 AM",1683176400000,125819.0,50.0,-10.0,50.0,5293.0
"May 4, 2023, 7:15:00 AM",1683177300000,125869.0,11.0,-20.0,-16.0,4747.0
"May 4, 2023, 7:30:00 AM",1683178200000,125853.0,45.0,-4.0,20.0,5894.0
"May 4, 2023, 7:45:00 AM",1683179100000,125874.0,6.0,-46.0,-21.0,4567.0
"May 4, 2023, 8:00:00 AM",1683180000000,125851.0,75.0,-48.0,68.0,10851.0
"May 4, 2023, 8:15:00 AM",1683180900000,125919.0,9.0,-121.0,-64.0,9061.0
"May 4, 2023, 8:30:00 AM",1683181800000,125855.0,0.0,-167.0,-112.0,11583.0
"May 4, 2023, 8:45:00 AM",1683182700000,125744.0,87.0,-74.0,-23.0,10702.0
"May 4, 2023, 9:00:00 AM",1683183600000,125722.0,72.0,-88.0,-54.0,14529.0
"May 4, 2023, 9:15:00 AM",1683184500000,125665.0,25.0,-65.0,6.0,12307.0
"May 4, 2023, 9:30:00 AM",1683185400000,125671.0,68.0,-76.0,9.0,11843.0
"May 4, 2023, 9:45:00 AM",1683186300000,125681.0,27.0,-68.0,11.0,10130.0
"May 4, 2023, 10:00:00 AM",1683187200000,125693.0,1.0,-72.0,-17.0,11967.0
"May 4, 2023, 10:15:00 AM",1683188100000,125675.0,7.0,-74.0,-63.0,11778.0
"May 4, 2023, 10:30:00 AM",1683189000000,125609.0,89.0,-18.0,64.0,11666.0
"May 4, 2023, 10:45:00 AM",1683189900000,125672.0,13.0,-115.0,-95.0,10497.0
"May 4, 2023, 11:00:00 AM",1683190800000,125573.0,29.0,-55.0,6.0,11740.0
"May 4, 2023, 11:15:00 AM",1683191700000,125580.0,163.0,-18.0,126.0,10822.0
"May 4, 2023, 11:30:00 AM",1683192600000,125710.0,62.0,-42.0,1.0,10343.0
"May 4, 2023, 11:45:00 AM",1683193500000,125706.0,68.0,-75.0,11.0,12283.0
"May 4, 2023, 12:00:00 PM",1683194400000,125716.0,57.0,-76.0,30.0,12428.0
"May 4, 2023, 12:15:00 PM",1683195300000,125747.0,41.0,-99.0,-80.0,8848.0
"May 4, 2023, 12:30:00 PM",1683196200000,125666.0,20.0,-46.0,18.0,9148.0
"May 4, 2023, 12:45:00 PM",1683197100000,125684.0,51.0,-29.0,11.0,10599.0
"May 4, 2023, 1:00:00 PM",1683198000000,125691.0,96.0,-16.0,81.0,11813.0
"May 4, 2023, 1:15:00 PM",1683198900000,125773.0,19.0,-46.0,1.0,10000.0
"May 4, 2023, 1:30:00 PM",1683199800000,125776.0,59.0,-20.0,18.0,9310.0
"May 4, 2023, 1:45:00 PM",1683200700000,125795.0,58.0,-19.0,53.0,9809.0
"May 4, 2023, 2:00:00 PM",1683201600000,125848.0,4.0,-71.0,-25.0,11266.0
"May 4, 2023, 2:15:00 PM",1683202500000,125830.0,17.0,-260.0,-203.0,12978.0
"May 4, 2023, 2:30:00 PM",1683203400000,125629.0,82.0,-106.0,31.0,13217.0
"May 4, 2023, 2:45:00 PM",1683204300000,125661.0,13.0,-176.0,-146.0,15684.0
"May 4, 2023, 3:00:00 PM",1683205200000,125514.0,238.0,-38.0,154.0,16153.0
"May 4, 2023, 3:15:00 PM",1683206100000,125671.0,34.0,-62.0,-18.0,14855.0
"May 4, 2023, 3:30:00 PM",1683207000000,125654.0,90.0,-78.0,-76.0,15757.0
"May 4, 2023, 3:45:00 PM",1683207900000,125576.0,164.0,-26.0,144.0,15376.0
"May 4, 2023, 4:00:00 PM",1683208800000,125721.0,24.0,-122.0,-107.0,16138.0
"May 4, 2023, 4:15:00 PM",1683209700000,125614.0,224.0,-34.0,191.0,18151.0
"May 4, 2023, 4:30:00 PM",1683210600000,125804.0,174.0,-17.0,33.0,16436.0
"May 4, 2023, 4:45:00 PM",1683211500000,125833.0,0.0,-235.0,-121.0,16158.0
"May 4, 2023, 5:00:00 PM",1683212400000,125709.0,19.0,-105.0,-88.0,16138.0
"May 4, 2023, 5:15:00 PM",1683213300000,125622.0,81.0,-15.0,30.0,15181.0
"May 4, 2023, 5:30:00 PM",1683214200000,125652.0,119.0,-28.0,97.0,14710.0
"May 4, 2023, 5:45:00 PM",1683215100000,125749.0,65.0,-19.0,20.0,12832.0
"May 4, 2023, 6:00:00 PM",1683216000000,125767.0,122.0,0.0,116.0,12397.0
"May 4, 2023, 6:15:00 PM",1683216900000,125884.0,23.0,-46.0,5.0,12158.0
"May 4, 2023, 6:30:00 PM",1683217800000,125891.0,89.0,-18.0,85.0,8391.0
"May 4, 2023, 6:45:00 PM",1683218700000,125978.0,0.0,-43.0,-31.0,7975.0
"May 4, 2023, 7:00:00 PM",1683219600000,125948.0,1.0,-74.0,-21.0,9692.0
"May 4, 2023, 7:15:00 PM",1683220500000,125928.0,28.0,-25.0,-1.0,9825.0
"May 4, 2023, 7:30:00 PM",1683221400000,125928.0,43.0,0.0,14.0,9030.0
"May 4, 2023, 7:45:00 PM",1683222300000,125943.0,5.0,-65.0,-58.0,7224.0
"May 4, 2023, 8:00:00 PM",1683223200000,125884.0,0.0,-144.0,-96.0,7337.0
