ctmString,ctm,open,high,low,close,vol
"May 11, 2023, 5:15:00 AM",1683774900000,169337.0,36.0,-62.0,-33.0,4366.0
"May 11, 2023, 5:30:00 AM",1683775800000,169303.0,12.0,-38.0,-1.0,3694.0
"May 11, 2023, 5:45:00 AM",1683776700000,169316.0,39.0,-44.0,-11.0,3557.0
"May 11, 2023, 6:00:00 AM",1683777600000,169309.0,30.0,-42.0,-30.0,5287.0
"May 11, 2023, 6:15:00 AM",1683778500000,169279.0,64.0,-30.0,60.0,5559.0
"May 11, 2023, 6:30:00 AM",1683779400000,169340.0,106.0,0.0,58.0,6468.0
"May 11, 2023, 6:45:00 AM",1683780300000,169399.0,43.0,-21.0,-21.0,5480.0
"May 11, 2023, 7:00:00 AM",1683781200000,169388.0,25.0,-61.0,-51.0,6622.0
"May 11, 2023, 7:15:00 AM",1683782100000,169340.0,57.0,-12.0,53.0,5752.0
"May 11, 2023, 7:30:00 AM",1683783000000,169394.0,60.0,-18.0,56.0,6689.0
"May 11, 2023, 7:45:00 AM",1683783900000,169450.0,54.0,-33.0,54.0,9265.0
"May 11, 2023, 8:00:00 AM",1683784800000,169505.0,3.0,-79.0,-16.0,3655.0
"May 11, 2023, 8:15:00 AM",1683785700000,169491.0,11.0,-163.0,-161.0,3941.0
"May 11, 2023, 8:30:00 AM",1683786600000,169330.0,10.0,-200.0,-138.0,4124.0
"May 11, 2023, 8:45:00 AM",1683787500000,169192.0,14.0,-90.0,-63.0,3777.0
"May 11, 2023, 9:00:00 AM",1683788400000,169129.0,216.0,-15.0,149.0,4276.0
"May 11, 2023, 9:15:00 AM",1683789300000,169278.0,11.0,-245.0,-137.0,4060.0
"May 11, 2023, 9:30:00 AM",1683790200000,169140.0,81.0,-58.0,41.0,3951.0
"May 11, 2023, 9:45:00 AM",1683791100000,169182.0,152.0,-123.0,-112.0,4074.0
"May 11, 2023, 10:00:00 AM",1683792000000,169076.0,328.0,-1.0,291.0,3931.0
"May 11, 2023, 10:15:00 AM",1683792900000,169366.0,56.0,-84.0,54.0,4246.0
"May 11, 2023, 10:30:00 AM",1683793800000,169418.0,125.0,-31.0,124.0,4265.0
"May 11, 2023, 10:45:00 AM",1683794700000,169539.0,111.0,-63.0,77.0,4642.0
"May 11, 2023, 11:00:00 AM",1683795600000,169618.0,79.0,-16.0,9.0,4600.0
"May 11, 2023, 11:15:00 AM",1683796500000,169626.0,6.0,-106.0,-89.0,4212.0
"May 11, 2023, 11:30:00 AM",1683797400000,169538.0,49.0,-42.0,36.0,3801.0
"May 11, 2023, 11:45:00 AM",1683798300000,169574.0,20.0,-101.0,-29.0,3784.0
"May 11, 2023, 12:00:00 PM",1683799200000,169543.0,10.0,-190.0,-144.0,3881.0
"May 11, 2023, 12:15:00 PM",1683800100000,169400.0,13.0,-197.0,-186.0,3503.0
"May 11, 2023, 12:30:00 PM",1683801000000,169213.0,60.0,-40.0,-17.0,4049.0
"May 11, 2023, 12:45:00 PM",1683801900000,169196.0,78.0,-54.0,-16.0,4367.0
"May 11, 2023, 1:00:00 PM",1683802800000,169180.0,558.0,-51.0,85.0,5375.0
"May 11, 2023, 1:15:00 PM",1683803700000,169266.0,0.0,-186.0,-88.0,4744.0
"May 11, 2023, 1:30:00 PM",1683804600000,169178.0,120.0,-248.0,-246.0,5028.0
"May 11, 2023, 1:45:00 PM",1683805500000,168934.0,53.0,-233.0,-97.0,5291.0
"May 11, 2023, 2:00:00 PM",1683806400000,168836.0,111.0,-136.0,46.0,4113.0
"May 11, 2023, 2:15:00 PM",1683807300000,168883.0,602.0,0.0,86.0,4735.0
