ctmString,ctm,open,high,low,close,vol
"Oct 5, 2023, 6:00:00 PM",1696521600000,180687.0,38.0,-101.0,20.0,5298.0
"Oct 5, 2023, 6:15:00 PM",1696522500000,180708.0,117.0,-16.0,115.0,5518.0
"Oct 5, 2023, 6:30:00 PM",1696523400000,180823.0,19.0,-76.0,-58.0,4599.0
"Oct 5, 2023, 6:45:00 PM",1696524300000,180766.0,2.0,-86.0,-19.0,4143.0
"Oct 5, 2023, 7:00:00 PM",1696525200000,180748.0,5.0,-131.0,-85.0,4294.0
"Oct 5, 2023, 7:15:00 PM",1696526100000,180663.0,24.0,-79.0,-34.0,4357.0
"Oct 5, 2023, 7:30:00 PM",1696527000000,180627.0,166.0,-28.0,146.0,4357.0
"Oct 5, 2023, 7:45:00 PM",1696527900000,180774.0,48.0,-11.0,33.0,3886.0
"Oct 5, 2023, 8:00:00 PM",1696528800000,180806.0,66.0,-7.0,36.0,3470.0
"Oct 5, 2023, 8:15:00 PM",1696529700000,180842.0,34.0,-43.0,-13.0,3421.0
"Oct 5, 2023, 8:30:00 PM",1696530600000,180827.0,95.0,0.0,32.0,4244.0
"Oct 5, 2023, 8:45:00 PM",1696531500000,180861.0,108.0,-22.0,75.0,3479.0
"Oct 5, 2023, 9:00:00 PM",1696532400000,180937.0,53.0,0.0,30.0,3684.0
"Oct 5, 2023, 9:15:00 PM",1696533300000,180967.0,12.0,-43.0,9.0,3516.0
"Oct 5, 2023, 9:30:00 PM",1696534200000,180977.0,18.0,-14.0,15.0,4196.0
"Oct 5, 2023, 9:45:00 PM",1696535100000,180991.0,29.0,-25.0,21.0,3382.0
"Oct 5, 2023, 10:00:00 PM",1696536000000,181011.0,24.0,-24.0,-19.0,4607.0
"Oct 5, 2023, 10:15:00 PM",1696536900000,180992.0,35.0,-9.0,16.0,3354.0
"Oct 5, 2023, 10:30:00 PM",1696537800000,181008.0,37.0,-9.0,28.0,2175.0
"Oct 5, 2023, 10:45:00 PM",1696538700000,181038.0,31.0,-44.0,12.0,2581.0
"Oct 5, 2023, 11:00:00 PM",1696539600000,180987.0,22.0,-51.0,6.0,163.0
"Oct 5, 2023, 11:15:00 PM",1696540500000,180999.0,0.0,-169.0,-71.0,313.0
"Oct 5, 2023, 11:30:00 PM",1696541400000,180928.0,45.0,-13.0,45.0,306.0
